evaluation_scheme,model,accuracy,balanced_accuracy,precision,recall,specificity,f1_score,roc_auc,pr_auc,mcc,support_total,support_non_target,support_target,tn,fp,fn,tp,train_samples,test_samples,train_subjects,test_subjects
pooled_random_split,LDA,0.7345994643291941,0.6771215988422944,0.2100340136054422,0.6053921568627451,0.7488510408218437,0.31186868686868685,0.7361005094116587,0.29601125554693275,0.23440247696421346,4107,3699,408,2770,929,161,247,16427,4107,,
pooled_random_split,SVM,0.7957146335524714,0.672888539032807,0.247953216374269,0.5196078431372549,0.826169234928359,0.33570863024544734,0.7393850484232622,0.3467015097707093,0.25474761187874195,4107,3699,408,3056,643,196,212,16427,4107,,
subject_group_split,LDA,0.6646531209957899,0.6258719877383696,0.16336116910229645,0.577490774907749,0.6742532005689901,0.2546786004882018,0.6501824772362741,0.15681904555250076,0.15770921330260576,5463,4921,542,3318,1603,229,313,15071,5463,8.0,3.0
subject_group_split,SVM,0.80962840929892,0.6201485312963271,0.2275711159737418,0.3837638376383764,0.8565332249542776,0.2857142857142857,0.6665546258185605,0.2619775292441406,0.19246143584602893,5463,4921,542,4215,706,334,208,15071,5463,8.0,3.0
